date,high,low,open,close,volume
2019-09-16 11:30:00,300.5400,300.2700,300.3300,300.3600,335139
2019-09-16 11:25:00,300.4100,300.2300,300.3700,300.3216,166987
2019-09-16 11:20:00,300.5500,300.3400,300.4300,300.3700,349829
2019-09-16 11:15:00,300.4900,300.4100,300.4600,300.4300,588984
2019-09-16 11:10:00,300.5200,300.0400,300.0600,300.4600,516168
2019-09-16 11:05:00,300.0550,299.9650,300.0250,300.0550,807593
2019-09-16 11:00:00,300.1700,299.8100,299.8300,300.0000,529575
2019-09-16 10:55:00,300.2000,299.8100,299.9700,299.8400,329024
2019-09-16 10:50:00,300.1500,299.9600,300.0700,299.9600,398329
2019-09-16 10:45:00,300.2200,299.9400,300.0500,300.0600,511853
2019-09-16 10:40:00,300.1100,299.9400,300.0700,300.0450,323346
2019-09-16 10:35:00,300.1300,299.9850,300.1000,300.0699,558608
2019-09-16 10:30:00,300.5000,300.0700,300.4600,300.0900,436011
2019-09-16 10:25:00,300.5000,300.3000,300.3300,300.4700,320484
2019-09-16 10:20:00,300.5200,300.2500,300.3000,300.3300,286223
2019-09-16 10:15:00,300.5200,300.2600,300.3900,300.3200,514299
2019-09-16 10:10:00,300.5700,300.3900,300.4600,300.3900,578012
2019-09-16 10:05:00,300.5300,300.3600,300.5000,300.4600,691806
2019-09-16 10:00:00,300.5400,300.3900,300.4600,300.5100,493869
2019-09-16 09:55:00,300.5600,300.0800,300.0900,300.4500,563237
2019-09-16 09:50:00,300.2800,300.0100,300.2400,300.0900,668990
2019-09-16 09:45:00,300.3600,299.8700,300.0500,300.2400,1272575
2019-09-16 09:40:00,300.3100,299.9200,300.0900,300.0207,1231676
2019-09-16 09:35:00,300.1800,299.7400,299.8400,300.0907,0
2019-09-13 16:00:00,301.3900,301.0000,301.1700,301.0500,3334721
2019-09-13 15:55:00,301.2550,301.1650,301.2500,301.1650,1835724
2019-09-13 15:50:00,301.2650,301.1200,301.1900,301.2600,1054644
2019-09-13 15:45:00,301.1800,301.0200,301.0500,301.1800,1326503
2019-09-13 15:40:00,301.1600,301.0300,301.0318,301.0500,626674
2019-09-13 15:35:00,301.0500,300.9400,300.9800,301.0350,486628
2019-09-13 15:30:00,300.9900,300.9230,300.9303,300.9863,399587
2019-09-13 15:25:00,300.9400,300.7200,300.7700,300.9363,608026
2019-09-13 15:20:00,300.8400,300.6800,300.8200,300.7700,575233
2019-09-13 15:15:00,300.9400,300.7501,300.8000,300.8300,525105
2019-09-13 15:10:00,301.0600,300.7900,301.0300,300.8150,471169
2019-09-13 15:05:00,301.2500,300.9800,301.2400,301.0300,403120
2019-09-13 15:00:00,301.3000,301.1950,301.2100,301.2300,349155
2019-09-13 14:55:00,301.3000,301.1400,301.1500,301.2100,190349
2019-09-13 14:50:00,301.3100,301.1200,301.3100,301.1500,116234
2019-09-13 14:45:00,301.3600,301.2100,301.2400,301.3200,266519
2019-09-13 14:40:00,301.2900,301.2300,301.2800,301.2450,202318
2019-09-13 14:35:00,301.3250,301.1999,301.2200,301.3000,249640
2019-09-13 14:30:00,301.2365,301.0800,301.2250,301.2100,517952
2019-09-13 14:25:00,301.2400,301.0500,301.1100,301.2300,450069
2019-09-13 14:20:00,301.2600,301.0600,301.2400,301.1200,364671
2019-09-13 14:15:00,301.3800,301.2100,301.3650,301.2400,758800
2019-09-13 14:10:00,301.4000,301.2500,301.2600,301.3700,280688
2019-09-13 14:05:00,301.3000,301.1300,301.1436,301.2565,686499
2019-09-13 14:00:00,301.4800,301.1400,301.4500,301.1400,480436
2019-09-13 13:55:00,301.4700,301.3400,301.3450,301.4600,991787
2019-09-13 13:50:00,301.3400,301.0800,301.1100,301.3400,1665468
2019-09-13 13:45:00,301.3400,301.0200,301.3350,301.1200,810521
2019-09-13 13:40:00,301.4400,301.3000,301.4100,301.3300,435093
2019-09-13 13:35:00,301.4800,301.4000,301.4700,301.4000,273067
2019-09-13 13:30:00,301.4800,301.4300,301.4500,301.4700,141563
2019-09-13 13:25:00,301.5500,301.4500,301.5500,301.4500,171116
2019-09-13 13:20:00,301.6100,301.5200,301.5400,301.5500,240524
2019-09-13 13:15:00,301.5480,301.4600,301.4800,301.5331,333897
2019-09-13 13:10:00,301.5000,301.3200,301.3300,301.4800,610037
2019-09-13 13:05:00,301.4100,301.3250,301.3900,301.3300,730360
2019-09-13 13:00:00,301.4650,301.3900,301.4400,301.4000,162022
2019-09-13 12:55:00,301.4800,301.3150,301.3400,301.4300,386312
2019-09-13 12:50:00,301.4450,301.3000,301.4400,301.3400,330019
2019-09-13 12:45:00,301.4900,301.3700,301.4800,301.4300,212051
2019-09-13 12:40:00,301.5500,301.4400,301.4400,301.4900,472683
2019-09-13 12:35:00,301.4380,301.3350,301.3900,301.4378,243482
2019-09-13 12:30:00,301.4850,301.3600,301.4700,301.3900,857819
2019-09-13 12:25:00,301.7150,301.4200,301.7100,301.4700,457703
2019-09-13 12:20:00,301.7390,301.6930,301.7300,301.7149,267579
2019-09-13 12:15:00,301.8000,301.6600,301.7850,301.7300,449772
2019-09-13 12:10:00,301.8600,301.7000,301.7000,301.7875,1746106
